源编号,源类,年份,行业代码,行业名称,设备类型,排口编号,核算项数,分类理由
SRC-RAW-06A0D517678266881D8A,工业锅炉,2022,3974,显示器件制造,燃气锅炉,DA002,9,[]
SRC-RAW-1618CFF73AC0EAC0C2A8,工业锅炉,2022,3974,显示器件制造,燃气锅炉,DA011,9,[]
SRC-RAW-F567C2BB84AAEF9EA73B,工业锅炉,2022,3974,显示器件制造,燃气锅炉,DA012,9,[]
SRC-RAW-47B9EBADA29346E7CDA3,工业锅炉,2022,1371,蔬菜加工,燃气锅炉,DA001,9,[]
SRC-RAW-05475272428D1A308BF0,工业锅炉,2022,4190,其他未列明制造业,燃气锅炉,DA001,9,[]
SRC-RAW-E4E1187A6A8D79EB929E,工业锅炉,2022,4190,其他未列明制造业,燃气锅炉,DA001,9,[]
SRC-RAW-820D3C16C3FEDE54E45D,范围外,2022,1421,糖果、巧克力制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-E49FCEED939CDD687404,火电热力,2022,4411,火力发电,燃气轮机,DA001,9,[]
SRC-RAW-1C863369F8997725CA34,火电热力,2022,4411,火力发电,燃气轮机,DA002,9,[]
SRC-RAW-EA652878CE0118E3A555,火电热力,2022,4411,火力发电,燃气轮机,DA003,9,[]
SRC-RAW-B429A327FC441BB31484,工业锅炉,2022,1421,糖果、巧克力制造,燃气锅炉,DA001,9,[]
SRC-RAW-B815ECC198A1C9DD6E39,工业锅炉,2022,1421,糖果、巧克力制造,燃气锅炉,DA002,9,[]
SRC-RAW-47958131825C056257E6,工业锅炉,2022,1421,糖果、巧克力制造,燃气锅炉,DA003,9,[]
SRC-RAW-980A07DB84018C5BBA19,火电热力,2022,4411,火力发电,燃气轮机,DA001,9,[]
SRC-RAW-CB1B81AA30BD9D6FB18E,火电热力,2022,4411,火力发电,燃气轮机,DA002,9,[]
SRC-RAW-F68F3E0AD9A14C0A5999,火电热力,2022,4411,火力发电,燃气轮机,DA003,9,[]
SRC-RAW-0BA1EECB38C1F50EA469,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA001,9,[]
SRC-RAW-2523065C1F73DFFA0E40,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-316CF6660112E5C95945,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA003,9,[]
SRC-RAW-FA95504E088B5BC675AC,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA004,9,[]
SRC-RAW-4EAF3B83A481AB9A1A71,工业锅炉,2022,1329,其他饲料加工,燃气锅炉,DA006,9,[]
SRC-RAW-7C1A45CA61EBF52066B0,火电热力,2022,4411,火力发电,燃煤锅炉,DA001,17,[]
SRC-RAW-6F0411A459B438D419BD,火电热力,2022,4411,火力发电,燃煤锅炉,DA002,17,[]
SRC-RAW-EC168736F3C533220CED,工业锅炉,2022,1353,肉制品及副产品加工,燃气锅炉,DA001,9,[]
SRC-RAW-7A3F403C96A5C0A23A63,工业锅炉,2022,1353,肉制品及副产品加工,燃气锅炉,DA001,9,[]
SRC-RAW-A94765DFD0663046E523,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA009,9,[]
SRC-RAW-4575B8F5F65F634CE1F7,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA010,9,[]
SRC-RAW-1738CC5DD32BB42E254D,工业锅炉,2022,3852,家用空气调节器制造,燃气锅炉,DA013,9,[]
SRC-RAW-EB4D191DE10124C1BDB2,范围外,2022,1352,禽类屠宰,,DA001,0,[]
SRC-RAW-C602E2374183E0735490,工业锅炉,2022,1521,碳酸饮料制造,燃气锅炉,DA005,9,[]
SRC-RAW-A5264FB1BBEF1869E8D2,工业锅炉,2022,1453,蔬菜、水果罐头制造,燃油锅炉,DA007,9,[]
SRC-RAW-B5A8D1437FD6D6F59DE8,工业锅炉,2022,1453,蔬菜、水果罐头制造,燃油锅炉,DA007,9,[]
SRC-RAW-DA612CB3F975968CC08A,工业锅炉,2022,1453,蔬菜、水果罐头制造,燃油锅炉,DA008,9,[]
SRC-RAW-2C455F6E087F36C72DF7,工业锅炉,2022,1453,蔬菜、水果罐头制造,燃油锅炉,DA008,9,[]
SRC-RAW-201725EEAC6A04980D8B,工业锅炉,2022,1453,蔬菜、水果罐头制造,燃油锅炉,DA008,9,[]
SRC-RAW-8BAF72D125F94514DB4A,工业锅炉,2022,2221,机制纸及纸板制造,燃气锅炉,DA001,9,[]
SRC-RAW-7BA5C429380EAC58A88A,工业锅炉,2022,2221,机制纸及纸板制造,燃气锅炉,DA001,9,[]
SRC-RAW-004ACF89F93CAE70B3D5,工业锅炉,2022,2720,化学药品制剂制造,燃油锅炉,DA002,9,[]
SRC-RAW-163B59EDF1DC68F17560,工业锅炉,2022,1495,食品及饲料添加剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-158963CA46A327265B5D,工业锅炉,2022,3351,建筑、家具用金属配件制造,燃油锅炉,DA002,9,[]
SRC-RAW-32CD3F17632A7F7F2B72,工业锅炉,2022,1469,其他调味品、发酵制品制造,燃油锅炉,DA001,9,[]
SRC-RAW-AA5966C02ABDE4DF7753,工业锅炉,2022,1392,豆制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-8174029F925AAED64FDD,工业锅炉,2022,1392,豆制品制造,燃气锅炉,DA002,9,[]
SRC-RAW-FB94CC3295717BA4AA2E,工业锅炉,2022,1819,其他机织服装制造,燃气锅炉,DA001,9,[]
SRC-RAW-04983D95AAE1DC302F68,工业锅炉,2022,1829,其他针织或钩针编织服装制造,燃气锅炉,DA167,9,[]
SRC-RAW-53472C3411002ACF1E05,工业锅炉,2022,1441,液体乳制造,燃油锅炉,DA002,9,[]
SRC-RAW-F6D89E7FAB05BC5F4612,工业锅炉,2022,1819,其他机织服装制造,燃气锅炉,DA001,9,[]
SRC-RAW-59513FAAC6F004DE5AB4,工业锅炉,2022,2661,化学试剂和助剂制造,燃气锅炉,DA005,9,[]
SRC-RAW-E03DD50E8F9AFED57CEA,工业锅炉,2022,2661,化学试剂和助剂制造,燃气锅炉,DA007,9,[]
SRC-RAW-8ABE0751D37E0793AA3D,工业锅炉,2022,2661,化学试剂和助剂制造,燃气锅炉,DA010,9,[]
SRC-RAW-9B0564A6272CB1705032,范围外,2022,2239,其他纸制品制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-F58925D5DFE03461F440,工业锅炉,2022,2659,其他合成材料制造,燃气锅炉,DA001,9,[]
SRC-RAW-AEFAB06D73C3873C8F8B,范围外,2022,2651,初级形态塑料及合成树脂制造,燃生物质锅炉,DA003,0,[]
SRC-RAW-FA8A194AE30E25A94DB5,工业锅炉,2022,1329,其他饲料加工,燃油锅炉,DA001,9,[]
SRC-RAW-F5EDDE8A103F0ED9EC87,工业锅炉,2022,1469,其他调味品、发酵制品制造,燃气锅炉,DA005,9,[]
SRC-RAW-BE9C5B5FBD6C54FFC3CB,工业锅炉,2022,1469,其他调味品、发酵制品制造,燃气锅炉,DA005,9,[]
SRC-RAW-90387334A7ACFAC370ED,工业锅炉,2022,1469,其他调味品、发酵制品制造,燃气锅炉,DA006,9,[]
SRC-RAW-49DC273F8F3199F34FAA,范围外,2022,3031,粘土砖瓦及建筑砌块制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-FB1919F18208CAC9D273,范围外,2022,1329,其他饲料加工,燃生物质锅炉,DA001,0,[]
SRC-RAW-BDE3E2DD54D2C93C307B,范围外,2022,1329,其他饲料加工,燃生物质锅炉,DA002,0,[]
SRC-RAW-6779294067F7FC7BAD4D,范围外,2022,1340,制糖业,燃生物质锅炉,DA001,0,[]
SRC-RAW-ADB308566702A6A79D11,工业锅炉,2022,1340,制糖业,燃气锅炉,DA001,9,[]
SRC-RAW-282E9F03D367AEC84683,工业锅炉,2022,1340,制糖业,燃气锅炉,DA001,9,[]
SRC-RAW-AB168A8CE183DC7D166B,范围外,2022,1329,其他饲料加工,燃生物质锅炉,DA001,0,[]
SRC-RAW-1C3E23EF73D05E3F2074,工业锅炉,2022,1462,酱油、食醋及类似制品制造,燃油锅炉,DA001,9,[]
SRC-RAW-79BF398BD4952811237E,工业锅炉,2022,2740,中成药生产,燃油锅炉,DA001,9,[]
SRC-RAW-F5634C9FC31B3CE70094,工业锅炉,2022,1819,其他机织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-5DA8F25D67B8022C578A,工业锅炉,2022,3982,电子电路制造,燃气锅炉,DA041,9,[]
SRC-RAW-7B6C7D3B5B96B81F0BE6,工业锅炉,2022,3982,电子电路制造,燃气锅炉,DA041,9,[]
SRC-RAW-17A20054250DEAA018B9,工业锅炉,2022,3982,电子电路制造,燃气锅炉,DA041,9,[]
SRC-RAW-1B52C3E05D4B6E7CE0A8,工业锅炉,2022,3039,其他建筑材料制造,燃油锅炉,DA001,9,[]
SRC-RAW-53E0C690C1A5ACC20EA8,范围外,2022,2924,泡沫塑料制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-8652FE8B3501DE8FF9F7,工业锅炉,2022,1512,白酒制造,燃油锅炉,DA001,9,[]
SRC-RAW-006496192490C63929B1,工业锅炉,2022,2740,中成药生产,燃油锅炉,DA001,9,[]
SRC-RAW-213C689CDD078740631A,工业锅炉,2022,1459,其他罐头食品制造,燃油锅炉,DA001,9,[]
SRC-RAW-F4658CCFEA1F28E51F2C,工业锅炉,2022,1763,针织或钩针编织品制造,燃油锅炉,DA001,9,[]
SRC-RAW-16FDB2024592392A2536,范围外,2022,3022,砼结构构件制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-847C658F1FEF166BD3A7,范围外,2022,1329,其他饲料加工,燃生物质锅炉,DA001,0,[]
SRC-RAW-2679A38C09408E953EDB,范围外,2022,1752,化纤织物染整精加工,,DA001,0,[]
SRC-RAW-2A167D17E5A9AE2E3BD5,范围外,2022,2231,纸和纸板容器制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-5AF22831E1A137964C83,工业锅炉,2022,1829,其他针织或钩针编织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-A9BF1BCB5871952A5EBC,工业锅炉,2022,1829,其他针织或钩针编织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-4412309C9F411C103CFD,工业锅炉,2022,1819,其他机织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-FA6CE82F65D745F12FCF,工业锅炉,2022,1819,其他机织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-433C02F9F1DF49D63184,工业锅炉,2022,3841,锂离子电池制造,燃气锅炉,DA031,9,[]
SRC-RAW-5F7B1CDE204E53BDB087,工业锅炉,2022,1819,其他机织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-B4BC182F8A7770B701B6,工业锅炉,2022,1352,禽类屠宰,燃油锅炉,DA001,9,[]
SRC-RAW-FEBF12D727541B47476D,工业锅炉,2022,3473,照相机及器材制造,燃油锅炉,DA005,9,[]
SRC-RAW-8505E6BF9566DFCE6FB9,范围外,2022,3021,水泥制品制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-F1ECD7F903DEC2E9A30C,工业锅炉,2022,3360,金属表面处理及热处理加工,燃油锅炉,DA005,17,[]
SRC-RAW-2C6198E59A019129E4ED,工业锅炉,2022,3021,水泥制品制造,燃油锅炉,DA001,9,[]
SRC-RAW-B823AEEDAE444485C25B,范围外,2022,2924,泡沫塑料制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-4241EFC2BA77C49E27B8,范围外,2022,3031,粘土砖瓦及建筑砌块制造,燃生物质锅炉,DA003,0,[]
SRC-RAW-16A75D53146530607FC2,工业锅炉,2022,1329,其他饲料加工,燃气锅炉,DA001,9,[]
SRC-RAW-D396E0E2AE57C916A380,工业锅炉,2022,1329,其他饲料加工,燃气锅炉,DA001,9,[]
SRC-RAW-2997501F88736884A405,工业锅炉,2022,1819,其他机织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-82183BBCFEE793FDDADE,工业锅炉,2022,2231,纸和纸板容器制造,燃气锅炉,DA001,9,[]
SRC-RAW-749A8E1E67F95C258D85,工业锅炉,2022,1529,茶饮料及其他饮料制造,燃气锅炉,DA001,9,[]
SRC-RAW-45904374EAFBF604E294,工业锅炉,2022,2710,化学药品原料药制造,燃气锅炉,DA011,9,[]
SRC-RAW-5B0A0BC8A8C79870539A,工业锅炉,2022,2710,化学药品原料药制造,燃气锅炉,DA011,9,[]
SRC-RAW-3E12B6CC6565AF6ABFAB,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-2C449838193BF0910BD1,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-1F0EAE810E69B144EEDB,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-78837D3F82B06E7C604A,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA006,9,[]
SRC-RAW-39AE30A82EF6C3BBC395,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA006,9,[]
SRC-RAW-4E4B934F078C9E6A9A89,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA006,9,[]
SRC-RAW-4418267D856DE31E2B6D,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA006,9,[]
SRC-RAW-C502171C08BD4E6F8342,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA006,9,[]
SRC-RAW-366327ED94F516C0A0BE,工业锅炉,2022,1433,方便面制造,燃气锅炉,DA005,17,[]
SRC-RAW-3C09BFCD06351CD8FFB3,工业锅炉,2022,1433,方便面制造,燃气锅炉,DA005,17,[]
SRC-RAW-9C42E4DFFE5B7E5A73E5,工业锅炉,2022,1433,方便面制造,燃气锅炉,DA005,17,[]
SRC-RAW-E7C9635944128B6A026F,工业锅炉,2022,1433,方便面制造,燃气锅炉,DA005,17,[]
SRC-RAW-00DB71BC5665E02AD59D,工业锅炉,2022,1433,方便面制造,燃气锅炉,DA005,17,[]
SRC-RAW-46EA471F88DB653F6D57,工业锅炉,2022,1433,方便面制造,燃气锅炉,DA005,17,[]
SRC-RAW-9824A89653019BD2F713,工业锅炉,2022,2710,化学药品原料药制造,燃气锅炉,DA008,9,[]
SRC-RAW-6096AC3477CB7B31DA41,工业锅炉,2022,2710,化学药品原料药制造,燃气锅炉,DA008,9,[]
SRC-RAW-54E534C4722C1CB1E05E,工业锅炉,2022,2740,中成药生产,燃油锅炉,DA012,9,[]
SRC-RAW-91F7B3317852EDFBCA80,工业锅炉,2022,2740,中成药生产,燃油锅炉,DA012,9,[]
SRC-RAW-7889803B46CD3ECA0641,工业锅炉,2022,1492,保健食品制造,燃油锅炉,DA001,9,[]
SRC-RAW-AF7C8DDEE831FF4229BD,工业锅炉,2022,1495,食品及饲料添加剂制造,燃气锅炉,DA010,9,[]
SRC-RAW-1AEA8EAD8B4AF21A669E,范围外,2022,2231,纸和纸板容器制造,燃生物质锅炉,DA001,0,[]
SRC-RAW-20439094AEFBE6E03410,工业锅炉,2022,3389,其他金属制日用品制造,燃气锅炉,DA006,9,[]
SRC-RAW-915BAF4B375419DEF0F9,范围外,2022,3854,家用厨房电器具制造,,DA001,0,[]
SRC-RAW-CCE8F2E04A1964203095,工业锅炉,2022,2826,氨纶纤维制造,燃气锅炉,DA001,9,[]
SRC-RAW-C459691C9AC7E3769F04,工业锅炉,2022,2826,氨纶纤维制造,燃气锅炉,DA001,9,[]
SRC-RAW-B267E9BD6652E8C8BB1E,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-2E90FC9929024E738649,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-93A1C24D82AABCCC0BD9,工业锅炉,2022,3351,建筑、家具用金属配件制造,燃气锅炉,DA001,9,[]
SRC-RAW-0B5C43EE7BC4260C29A0,工业锅炉,2022,3351,建筑、家具用金属配件制造,燃气锅炉,DA002,9,[]
SRC-RAW-1B6DC090B32C210D9629,范围外,2022,2319,包装装潢及其他印刷,燃气轮机,DA001,0,[]
SRC-RAW-FB099E374051B5BA8736,范围外,2022,2319,包装装潢及其他印刷,燃气轮机,DA002,0,[]
SRC-RAW-4D0E0F063FB279D41A2A,范围外,2022,2319,包装装潢及其他印刷,燃气轮机,DA003,0,[]
SRC-RAW-DBB94B6A83D65F230EAB,范围外,2022,2319,包装装潢及其他印刷,燃气轮机,DA004,0,[]
SRC-RAW-2B78AABB9D2753CB0FBD,工业锅炉,2022,2223,加工纸制造,燃油锅炉,DA002,9,[]
SRC-RAW-A51B4137B9525E4E590F,工业锅炉,2022,1469,其他调味品、发酵制品制造,燃油锅炉,DA003,9,[]
SRC-RAW-B61266A721B68E479710,工业锅炉,2022,1353,肉制品及副产品加工,燃油锅炉,DA002,9,[]
SRC-RAW-4C54E01C8DB3CBF7401E,工业锅炉,2022,2720,化学药品制剂制造,燃油锅炉,DA005,9,[]
SRC-RAW-5A5A19AA3F02FFDA81E6,工业锅炉,2022,2720,化学药品制剂制造,燃油锅炉,DA006,9,[]
SRC-RAW-2D37185889A596DB9433,范围外,2022,3021,水泥制品制造,燃生物质锅炉,DA225,0,[]
SRC-RAW-5D515F30B2C64987EECA,工业锅炉,2022,3979,其他电子器件制造,燃油锅炉,DA001,9,[]
SRC-RAW-32147724CBA58B74C954,工业锅炉,2022,3979,其他电子器件制造,燃油锅炉,DA002,9,[]
SRC-RAW-6C8F62888BBE6F5BE0E2,工业锅炉,2022,1492,保健食品制造,燃油锅炉,DA002,9,[]
SRC-RAW-BF67D222270CE1A36226,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA001,9,[]
SRC-RAW-A48CA3368D3D1ADCFA12,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA002,9,[]
SRC-RAW-7D3CC2F3F0A393CA986E,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA003,9,[]
SRC-RAW-BC1A99C338D79092634C,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA004,9,[]
SRC-RAW-6B2E401FB68542AC2B63,工业锅炉,2022,3982,电子电路制造,燃气锅炉,DA001,9,[]
SRC-RAW-485F0EC2C3D1A889F772,工业锅炉,2022,3612,新能源车整车制造,燃气锅炉,DA020,9,[]
SRC-RAW-B518FF1EA69E2BCC20B6,工业锅炉,2022,3612,新能源车整车制造,燃气锅炉,DA021,9,[]
SRC-RAW-17F4109476657E8B4986,火电热力,2022,4430,热力生产和供应,燃生物质锅炉,DA001,9,[]
SRC-RAW-CB4F7E76D2CA631D9689,火电热力,2022,4430,热力生产和供应,燃生物质锅炉,DA001,9,[]
SRC-RAW-017C98E5B9CB826F2F33,火电热力,2022,4412,热电联产,燃气轮机,DA001,9,[]
SRC-RAW-D16EA3E11682DFFC3340,火电热力,2022,4412,热电联产,燃气轮机,DA002,9,[]
SRC-RAW-9141974399D7079B86BD,范围外,2022,4511,天然气生产和供应业,燃气轮机,DA003,0,[]
SRC-RAW-27D88B9F6BB9517CB3AA,范围外,2022,4511,天然气生产和供应业,燃气轮机,DA004,0,[]
SRC-RAW-93B11DE1348C94C595D2,范围外,2022,4511,天然气生产和供应业,燃气锅炉,DA001,0,[]
SRC-RAW-49719CE469FEE9F18C27,范围外,2022,4511,天然气生产和供应业,燃气锅炉,DA002,0,[]
SRC-RAW-B165A18B20946B2E00E5,火电热力,2022,4411,火力发电,燃油锅炉,DA002,9,[]
SRC-RAW-45FDCD49242692C59CC2,火电热力,2022,4411,火力发电,燃油锅炉,DA004,9,[]
SRC-RAW-EEBE090EA58DAA871EB5,火电热力,2022,4411,火力发电,燃油锅炉,DA005,9,[]
SRC-RAW-F4E2E3A5D2805919502A,火电热力,2022,4411,火力发电,燃油锅炉,DA006,9,[]
SRC-RAW-3B266950947ED44E87CB,火电热力,2022,4411,火力发电,燃气轮机,DA001,9,[]
SRC-RAW-EE06C38E64521A36432A,火电热力,2022,4411,火力发电,燃气轮机,DA002,9,[]
SRC-RAW-DD0501C54907E853D039,工业锅炉,2022,2710,化学药品原料药制造,燃气锅炉,DA001,9,[]
SRC-RAW-E57DBFE539B38E1BACB1,工业锅炉,2022,2710,化学药品原料药制造,燃气锅炉,DA002,9,[]
SRC-RAW-CE5818D0BC6A804EC289,工业锅炉,2022,2710,化学药品原料药制造,燃气锅炉,DA003,9,[]
SRC-RAW-59B2FD10F8147E10924B,工业锅炉,2022,3586,康复辅具制造,燃气锅炉,DA002,9,[]
SRC-RAW-3300FCDCD07B8D0925F2,工业锅炉,2022,2761,生物药品制造,燃气锅炉,DA004,9,[]
SRC-RAW-38D2B31EC3802AAB1882,工业锅炉,2022,2770,卫生材料及医药用品制造,燃气锅炉,DA003,9,[]
SRC-RAW-61DC3A0286C17EFEF22E,范围外,2022,3854,家用厨房电器具制造,燃生物质锅炉,DA002,0,[]
SRC-RAW-59A32F793674DC3A045C,范围外,2022,3854,家用厨房电器具制造,燃生物质锅炉,DA003,0,[]
SRC-RAW-F52DFE419B46BE467D79,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-15B8AC1B8575E4D7FD1B,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-1995822DE663415A8C9A,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-4E26EF7D1475F9D5F459,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-070F31B8AF59F00A73BE,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-1D1419BDFFC1B8300B3F,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-13749A43808E2C1CC0B9,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-1BB7C62769E8C1888362,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-781ABAACD80E4E2B94B5,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-5153B1BE317BB4E366F5,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-A9042AB2C5E631E95D9A,工业锅炉,2022,1513,啤酒制造,燃气锅炉,DA002,9,[]
SRC-RAW-63CCF54493A6B21462B2,工业锅炉,2022,3360,金属表面处理及热处理加工,燃油锅炉,DA006,9,[]
SRC-RAW-94F9CFB916A9A7BFEF32,工业锅炉,2022,2684,香料、香精制造,燃油锅炉,DA001,9,[]
SRC-RAW-A8A78C4A9B116301AAF9,工业锅炉,2022,3854,家用厨房电器具制造,燃气锅炉,DA006,9,[]
SRC-RAW-D5DE070B18A23D0A172A,工业锅炉,2022,1713,棉印染精加工,燃气锅炉,DA001,9,[]
SRC-RAW-DCAC5F499EEBD77F5853,工业锅炉,2022,3061,玻璃纤维及制品制造,燃气锅炉,DA002,9,[]
SRC-RAW-6CEBA4A882C4E995840E,工业锅炉,2022,2614,有机化学原料制造,燃气锅炉,DA003,9,[]
SRC-RAW-5F60218C8B5EC2865463,范围外,2022,4511,天然气生产和供应业,燃气锅炉,DA001,0,[]
SRC-RAW-293351E344F992C10D2C,范围外,2022,4511,天然气生产和供应业,燃气锅炉,DA002,0,[]
SRC-RAW-D3F1FE7CC8FA352841E1,范围外,2022,4511,天然气生产和供应业,燃气锅炉,DA003,0,[]
SRC-RAW-58772EDD97F74EA47C6F,范围外,2022,4511,天然气生产和供应业,燃气锅炉,DA004,0,[]
SRC-RAW-088F8589EAA3A1A6A3C5,范围外,2022,4511,天然气生产和供应业,燃气锅炉,DA005,0,[]
SRC-RAW-A268273C92250B6FECC1,范围外,2022,4511,天然气生产和供应业,燃气锅炉,DA006,0,[]
SRC-RAW-B1BBC48DA52DFF6587E8,范围外,2022,4511,天然气生产和供应业,余热利用锅炉,DA007,0,[]
SRC-RAW-748322CEB4048A84E195,范围外,2022,4511,天然气生产和供应业,余热利用锅炉,DA008,0,[]
SRC-RAW-E3E613F7E1216ECB52C1,范围外,2022,4511,天然气生产和供应业,余热利用锅炉,DA009,0,[]
SRC-RAW-CACA8FED3147DA52D7C6,范围外,2022,2611,无机酸制造,余热利用锅炉,DA002,0,[]
SRC-RAW-93ECDC5984CFAB117887,工业锅炉,2022,2641,涂料制造,燃气锅炉,DA007,9,[]
SRC-RAW-43A3C0C4BB0258342EA4,工业锅炉,2022,2641,涂料制造,燃气锅炉,DA007,9,[]
SRC-RAW-42B077F493161ACCC027,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA001,9,[]
SRC-RAW-68AF8F221FFE7BE38E74,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA002,9,[]
SRC-RAW-2A1617483E6B435AD365,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA003,9,[]
SRC-RAW-68AE5F379802D477976C,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA004,9,[]
SRC-RAW-E7B473AE6CE730519A13,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA005,9,[]
SRC-RAW-4F56B492F17F662C7100,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA001,9,[]
SRC-RAW-593B184C3DDC35507A95,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA001,9,[]
SRC-RAW-B986173FDF1E823BABD3,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA001,9,[]
SRC-RAW-79BB40F89E21083151E9,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA001,9,[]
SRC-RAW-C2327FC2349ED8E6F9EC,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA001,9,[]
SRC-RAW-CA1482BE0E160DD8597C,火电热力,2022,4411,火力发电,燃气锅炉,DA003,9,[]
SRC-RAW-EA575374F3359E937FB7,火电热力,2022,4411,火力发电,燃气锅炉,DA004,9,[]
SRC-RAW-28F83065C75A8FF87FA8,工业锅炉,2022,2221,机制纸及纸板制造,燃煤锅炉,DA006,25,[]
SRC-RAW-FF7C2F27803D71DC62B6,工业锅炉,2022,2221,机制纸及纸板制造,燃煤锅炉,DA006,25,[]
SRC-RAW-D1A601D9A66E5BF2E848,范围外,2022,1329,其他饲料加工,燃生物质锅炉,DA355,0,[]
SRC-RAW-403688AD4D0EAF69B054,工业锅炉,2022,1819,其他机织服装制造,燃油锅炉,DA001,9,[]
SRC-RAW-8AD48076679E2A1237CA,工业锅炉,2022,2812,人造纤维（纤维素纤维）制造,燃气锅炉,DA010,9,[]
SRC-RAW-CB146D39592E7899F186,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA001,9,[]
SRC-RAW-971C9581E2573CF7514D,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA002,9,[]
SRC-RAW-149F072749E5A0DE1D88,工业锅炉,2022,2653,合成纤维单（聚合）体制造,燃气锅炉,DA011,9,[]
SRC-RAW-724A3382BA0345E5B65A,工业锅炉,2022,2651,初级形态塑料及合成树脂制造,燃油锅炉,DA003,9,[]
SRC-RAW-0BEC2864FAA37B9B7CAF,工业锅炉,2022,2651,初级形态塑料及合成树脂制造,燃气锅炉,DA004,9,[]
SRC-RAW-1FF970E1376FE91F6DB2,工业锅炉,2022,2651,初级形态塑料及合成树脂制造,燃气锅炉,DA001,9,[]
SRC-RAW-2EEB2C44E7BB0C062FD1,工业锅炉,2022,2651,初级形态塑料及合成树脂制造,燃气锅炉,DA001,9,[]
SRC-RAW-C0C2F6AB594ACF51693B,工业锅炉,2022,2651,初级形态塑料及合成树脂制造,燃气锅炉,DA001,9,[]
